LastUpdate, AssetName, AssetId, TotalNetGeneration
"Last Update : Nov 08, 2025 07:01","WIND - Ardenville Wind","ARD1","65"
"Last Update : Nov 08, 2025 07:01","WIND - BUL1 Bull Creek","BUL1","0"
"Last Update : Nov 08, 2025 07:01","WIND - BUL2 Bull Creek","BUL2","0"
"Last Update : Nov 08, 2025 07:01","WIND - Blackspring Ridge","BSR1","24"
"Last Update : Nov 08, 2025 07:01","WIND - Blue Trail Wind","BTR1","59"
"Last Update : Nov 08, 2025 07:01","WIND - Buffalo Atlee 1","BFL1","0"
"Last Update : Nov 08, 2025 07:01","WIND - Buffalo Atlee 2","BFL2","0"
"Last Update : Nov 08, 2025 07:01","WIND - Buffalo Atlee 3","BFL3","0"
"Last Update : Nov 08, 2025 07:01","WIND - Buffalo Atlee 4","BFL4","0"
"Last Update : Nov 08, 2025 07:01","WIND - Buffalo Plains","BPW1","71"
"Last Update : Nov 08, 2025 07:01","WIND - Castle River #1","CR1","19"
"Last Update : Nov 08, 2025 07:01","WIND - Castle Rock Ridge 2","CRR2","29"
"Last Update : Nov 08, 2025 07:01","WIND - Castle Rock Wind Farm","CRR1","61"
"Last Update : Nov 08, 2025 07:01","WIND - Cowley Ridge","CRE3","9"
"Last Update : Nov 08, 2025 07:01","WIND - Cypress 1","CYP1","0"
"Last Update : Nov 08, 2025 07:01","WIND - Cypress 2","CYP2","0"
"Last Update : Nov 08, 2025 07:01","WIND - Enmax Taber","TAB1","21"
"Last Update : Nov 08, 2025 07:01","WIND - Forty Mile Bow Island","FRM1","0"
"Last Update : Nov 08, 2025 07:01","WIND - Forty Mile Granlea","FMG1","0"
"Last Update : Nov 08, 2025 07:01","WIND - Garden Plain","GDP1","14"
"Last Update : Nov 08, 2025 07:01","WIND - Ghost Pine","NEP1","10"
"Last Update : Nov 08, 2025 07:01","WIND - Grizzly Bear","GRZ1","0"
"Last Update : Nov 08, 2025 07:01","WIND - Halkirk 2","HAL2","0"
"Last Update : Nov 08, 2025 07:01","WIND - Halkirk Wind Power Facility","HAL1","32"
"Last Update : Nov 08, 2025 07:01","WIND - Hand Hills","HHW1","36"
"Last Update : Nov 08, 2025 07:01","WIND - Hilda Wind","HLD1","0"
"Last Update : Nov 08, 2025 07:01","WIND - Jenner 1","JNR1","0"
"Last Update : Nov 08, 2025 07:01","WIND - Jenner 2","JNR2","0"
"Last Update : Nov 08, 2025 07:01","WIND - Jenner 3","JNR3","0"
"Last Update : Nov 08, 2025 07:01","WIND - Kettles Hill","KHW1","52"
"Last Update : Nov 08, 2025 07:01","WIND - Lanfine Wind","LAN1","15"
"Last Update : Nov 08, 2025 07:01","WIND - McBride Lake Windfarm","AKE1","51"
"Last Update : Nov 08, 2025 07:01","WIND - Oldman 2 Wind Farm 1","OWF1","24"
"Last Update : Nov 08, 2025 07:01","WIND - Paintearth Wind Project","PAW1","1"
"Last Update : Nov 08, 2025 07:01","WIND - Rattlesnake Ridge Wind","RTL1","0"
"Last Update : Nov 08, 2025 07:01","WIND - Riverview","RIV1","102"
"Last Update : Nov 08, 2025 07:01","WIND - Sharp Hill Wind","SHH1","52"
"Last Update : Nov 08, 2025 07:01","WIND - Soderglen Wind","GWW1","70"
"Last Update : Nov 08, 2025 07:01","WIND - Stirling Wind","SWP1","78"
"Last Update : Nov 08, 2025 07:01","WIND - Summerview 1","IEW1","49"
"Last Update : Nov 08, 2025 07:01","WIND - Summerview 2","IEW2","36"
"Last Update : Nov 08, 2025 07:01","WIND - Suncor Chin Chute","SCR3","13"
"Last Update : Nov 08, 2025 07:01","WIND - Suncor Magrath","SCR2","21"
"Last Update : Nov 08, 2025 07:01","WIND - Wheatland Wind","WHE1","0"
"Last Update : Nov 08, 2025 07:01","WIND - Whitla 1","WHT1","0"
"Last Update : Nov 08, 2025 07:01","WIND - Whitla 2","WHT2","0"
"Last Update : Nov 08, 2025 07:01","WIND - Wild Rose","WIR1","0"
"Last Update : Nov 08, 2025 07:01","WIND - Windrise","WRW1","184"
"Last Update : Nov 08, 2025 07:01","WIND - Winnifred Wind","WIN1","0"
"Last Update : Nov 08, 2025 07:01","WIND - Wintering Hills","SCR4","2"
